Time Stamp,Region,Latitude,Longitude,Number of cases
03-16-2020,Arcadia,34.136207500000005,-118.0401497,1
03-16-2020,Beverly Hills,34.0696501,-118.3963062,1
03-16-2020,Boyle Heights,34.033165600000004,-118.20486480000001,5
03-16-2020,Carson,33.832204299999994,-118.2517547,1
03-16-2020,City,34.0536909,-118.2427666,2
03-16-2020,Diamond Bar,34.028622600000006,-117.81033670000001,2
03-16-2020,Encino,34.1591324,-118.50161659999999,3
03-16-2020,Gardena,33.8963593,-118.3053037,1
03-16-2020,Glendale,34.146941600000005,-118.24784709999999,2
03-16-2020,Glendora,34.136118700000004,-117.86533899999999,1
03-16-2020,Granada Hills,34.26615579999999,-118.5174342,3
03-16-2020,Inglewood,33.9562003,-118.353132,2
03-16-2020,Koreatown,34.05801339999999,-118.3008095,1
03-16-2020,La Mirada,33.906097100000004,-118.0107092,2
03-16-2020,Lancaster,34.6981064,-118.13661529999999,1
03-16-2020,Manhattan Beach,33.8915985,-118.39512409999999,3
03-16-2020,Melrose,34.0536909,-118.2427666,2
03-16-2020,Northridge,34.2345615,-118.53693159999999,1
03-16-2020,San Dimas,34.1066756,-117.8067257,1
03-16-2020,San Pedro,33.7358518,-118.2922934,1
03-16-2020,Santa Monica,34.019470399999996,-118.4912273,1
03-16-2020,Sherman Oaks,34.1508718,-118.4489865,2
03-16-2020,Silverlake,34.08276970000001,-118.273646,1
03-16-2020,South Pasadena,34.113306200000004,-118.1478291,1
03-16-2020,Tarzana,34.171443599999996,-118.54297890000001,5
03-16-2020,Torrance,33.835849200000006,-118.34062879999999,2
03-16-2020,Venice,33.995044,-118.4668875,1
03-16-2020,West Adams,34.0294356,-118.35248329999999,1
03-16-2020,West Hills,34.2032325,-118.645476,3
03-16-2020,West Hollywood,34.0923014,-118.36928940000001,5
03-16-2020,West Vernon,34.007135,-118.22525,1
03-16-2020,Westchester,33.9597349,-118.40063219999999,1
03-17-2020,Altadena,34.1863161,-118.13523290000002,1
03-17-2020,Arcadia,34.136207500000005,-118.0401497,1
03-17-2020,Baldwin Hills,34.010988700000006,-118.3370709,1
03-17-2020,Beverly Hills,34.0696501,-118.3963062,1
03-17-2020,Boyle Heights,34.033165600000004,-118.20486480000001,5
03-17-2020,Brentwood,34.0521403,-118.4740699,1
03-17-2020,Carson,33.832204299999994,-118.2517547,1
03-17-2020,Culver City,34.021122399999996,-118.3964665,2
03-17-2020,Diamond Bar,34.028622600000006,-117.81033670000001,2
03-17-2020,Eagle Rock,34.1388968,-118.21396240000001,1
03-17-2020,Encino,34.1591324,-118.50161659999999,5
03-17-2020,Gardena,33.8963593,-118.3053037,1
03-17-2020,Glendale,34.146941600000005,-118.24784709999999,3
03-17-2020,Granada Hills,34.26615579999999,-118.5174342,3
03-17-2020,Hollywood,34.0980031,-118.32952320000001,1
03-17-2020,Hollywood Hills,34.1311792,-118.33554740000001,2
03-17-2020,Inglewood,33.9562003,-118.353132,1
03-17-2020,Koreatown,34.05801339999999,-118.3008095,1
03-17-2020,La Mirada,33.906097100000004,-118.0107092,3
03-17-2020,Lynwood,33.924831,-118.2024154,1
03-17-2020,Manhattan Beach,33.8915985,-118.39512409999999,4
03-17-2020,Mar Vista,34.0037605,-118.43916409999999,1
03-17-2020,Melrose,34.0536909,-118.2427666,9
03-17-2020,Monterey Park,34.051522,-118.129807,1
03-17-2020,North Hollywood,34.1729044,-118.37403710000001,1
03-17-2020,Northridge,34.2345615,-118.53693159999999,1
03-17-2020,Reseda,34.200078399999995,-118.53698840000001,1
03-17-2020,San Dimas,34.1066756,-117.8067257,1
03-17-2020,San Pedro,33.7358518,-118.2922934,1
03-17-2020,Santa Clarita,34.3916641,-118.54258600000001,2
03-17-2020,Santa Monica,34.019470399999996,-118.4912273,1
03-17-2020,Sherman Oaks,34.1508718,-118.4489865,2
03-17-2020,Silverlake,34.08276970000001,-118.273646,1
03-17-2020,South Pasadena,34.113306200000004,-118.1478291,1
03-17-2020,Tarzana,34.171443599999996,-118.54297890000001,5
03-17-2020,Torrance,33.835849200000006,-118.34062879999999,1
03-17-2020,Venice,33.995044,-118.4668875,2
03-17-2020,West Adams,34.0294356,-118.35248329999999,1
03-17-2020,West Hills,34.2032325,-118.645476,3
03-17-2020,West Hollywood,34.0923014,-118.36928940000001,8
03-17-2020,West Vernon,34.007135,-118.22525,1
03-17-2020,Westchester,33.9597349,-118.40063219999999,2
03-17-2020,Woodland Hills,34.1684364,-118.6058382,2
03-17-2020,Other City in Los Angeles County (City <25000),34.05151,-118.242382,9
03-18-2020,Arcadia,34.136207500000005,-118.0401497,2
03-18-2020,Beverly Hills,34.0696501,-118.3963062,4
03-18-2020,Carson,33.832204299999994,-118.2517547,1
03-18-2020,Culver City,34.021122399999996,-118.3964665,2
03-18-2020,Diamond Bar,34.028622600000006,-117.81033670000001,2
03-18-2020,Gardena,33.8963593,-118.3053037,1
03-18-2020,Glendale,34.146941600000005,-118.24784709999999,4
03-18-2020,Inglewood,33.9562003,-118.353132,1
03-18-2020,La Mirada,33.906097100000004,-118.0107092,3
03-18-2020,Baldwin Hills,34.010988700000006,-118.3370709,1
03-18-2020,Boyle Heights,34.033165600000004,-118.20486480000001,5
03-18-2020,Brentwood,34.0521403,-118.4740699,2
03-18-2020,Century Palms/Cove,34.056290999999995,-118.41461969999999,1
03-18-2020,Eagle Rock,34.1388968,-118.21396240000001,1
03-18-2020,Encino,34.1591324,-118.50161659999999,6
03-18-2020,Granada Hills,34.26615579999999,-118.5174342,3
03-18-2020,Hollywood,34.0980031,-118.32952320000001,5
03-18-2020,Hollywood Hills,34.1311792,-118.33554740000001,2
03-18-2020,Koreatown,34.05801339999999,-118.3008095,1
03-18-2020,Mar Vista,34.0037605,-118.43916409999999,1
03-18-2020,Melrose,34.0536909,-118.2427666,10
03-18-2020,North Hollywood,34.1729044,-118.37403710000001,2
03-18-2020,Northridge,34.2345615,-118.53693159999999,1
03-18-2020,Reseda,34.200078399999995,-118.53698840000001,1
03-18-2020,San Pedro,33.7358518,-118.2922934,1
03-18-2020,Sherman Oaks,34.1508718,-118.4489865,4
03-18-2020,Silverlake,34.08276970000001,-118.273646,1
03-18-2020,Sylmar,34.307625200000004,-118.44921480000001,1
03-18-2020,Tarzana,34.171443599999996,-118.54297890000001,5
03-18-2020,Venice,33.995044,-118.4668875,4
03-18-2020,West Adams,34.0294356,-118.35248329999999,1
03-18-2020,West Hills,34.2032325,-118.645476,3
03-18-2020,West Los Angeles,34.0463986,-118.44813500000001,1
03-18-2020,West Vernon,34.007135,-118.22525,1
03-18-2020,Westchester,33.9597349,-118.40063219999999,2
03-18-2020,Woodland Hills,34.1684364,-118.6058382,3
03-18-2020,Lynwood,33.924831,-118.2024154,1
03-18-2020,Manhattan Beach,33.8915985,-118.39512409999999,4
03-18-2020,Monterey Park,34.051522,-118.129807,2
03-18-2020,San Dimas,34.1066756,-117.8067257,1
03-18-2020,Santa Clarita,34.3916641,-118.54258600000001,2
03-18-2020,Santa Monica,34.019470399999996,-118.4912273,3
03-18-2020,South Pasadena,34.113306200000004,-118.1478291,1
03-18-2020,Torrance,33.835849200000006,-118.34062879999999,2
03-18-2020,Walnut,34.020289399999996,-117.86533859999999,1
03-18-2020,West Hollywood,34.0923014,-118.36928940000001,11
03-19-2020,Arcadia,34.136207500000005,-118.0401497,2
03-19-2020,Baldwin Hills,34.010988700000006,-118.3370709,1
