Time Stamp,Region,Latitude,Longitude,Density
03-16-2020,Alhambra,34.093042,-118.12706,2.306645445528568e-05
03-16-2020,Arcadia,34.136207500000005,-118.0401497,1.7546014422823854e-05
03-16-2020,Beverly Hills,34.0696501,-118.3963062,2.8858363153641924e-05
03-16-2020,Boyle Heights,34.0436892,-118.20976840000002,5.885815185403178e-05
03-16-2020,Carson,33.832204299999994,-118.2517547,8.457088731774973e-06
03-16-2020,Diamond Bar,34.02862260000001,-117.8103367,3.500971519596688e-05
03-16-2020,Encino,34.1591324,-118.5016166,6.83495853458489e-05
03-16-2020,Gardena,33.8963593,-118.3053037,1.648016612007449e-05
03-16-2020,Glendale,34.146941600000005,-118.2478471,9.920388879244067e-06
03-16-2020,Glendora,34.136118700000004,-117.865339,1.8907165815844207e-05
03-16-2020,Granada Hills,34.26615579999999,-118.5174342,5.310298438772259e-05
03-16-2020,Inglewood,33.9562003,-118.353132,1.718818484173979e-05
03-16-2020,La Mirada,33.906097100000004,-118.0107092,3.6628694919600016e-05
03-16-2020,Lancaster,34.6981064,-118.1366153,5.897895630838917e-06
03-16-2020,Manhattan Beach,33.8915985,-118.3951241,5.466372697290501e-05
03-16-2020,Melrose,34.0536909,-118.2427666,2.6016937026003928e-05
03-16-2020,Northridge,34.2345615,-118.5369316,1.4459015919376528e-05
03-16-2020,San Dimas,34.1066756,-117.8067257,2.9129041654529566e-05
03-16-2020,San Pedro,33.7358518,-118.2922934,1.3210737687592475e-05
03-16-2020,Santa Monica,34.0194704,-118.4912273,1.0705491917353602e-05
03-16-2020,Sherman Oaks,34.1508718,-118.4489865,2.355435166647038e-05
03-16-2020,Silverlake,34.092941,-118.2697155,2.35810125686797e-05
03-16-2020,Tarzana,34.1714436,-118.5429789,0.00016768957306234698
03-16-2020,Torrance,33.83584920000001,-118.3406288,1.3634566352617155e-05
03-16-2020,Venice,33.995044,-118.4668875,2.898802794445894e-05
03-16-2020,West Adams,34.0294356,-118.3524833,3.788165770134101e-05
03-16-2020,West Hills,34.2032325,-118.645476,7.671457065411958e-05
03-16-2020,West Hollywood,34.0923014,-118.3692894,0.00013999328032254451
03-16-2020,West Vernon,34.007135,-118.22525,1.9229290054611184e-05
03-16-2020,Westchester,33.9597349,-118.4006322,1.9771442128988888e-05
03-17-2020,Alhambra,34.093042,-118.12706,1.153322722764284e-05
03-17-2020,Altadena,34.1863161,-118.13523290000002,1.8712925017309457e-05
03-17-2020,Arcadia,34.136207500000005,-118.0401497,1.7546014422823854e-05
03-17-2020,Baldwin Hills,34.01098870000001,-118.3370709,3.4093621083495276e-05
03-17-2020,Beverly Hills,34.0696501,-118.3963062,2.8858363153641924e-05
03-17-2020,Boyle Heights,34.0436892,-118.20976840000002,5.885815185403178e-05
03-17-2020,Brentwood,34.0521403,-118.4740699,3.3407944409180505e-05
03-17-2020,Carson,33.832204299999994,-118.2517547,8.457088731774973e-06
03-17-2020,Culver City,34.0211224,-118.3964665,3.5466652480005676e-05
03-17-2020,Diamond Bar,34.02862260000001,-117.8103367,3.500971519596688e-05
03-17-2020,Eagle Rock,34.1366877,-118.2076796,2.6128079847412012e-05
03-17-2020,Encino,34.1591324,-118.5016166,0.00011391597557641484
